income,existing_emis,credit_score,loan_amount,tenure_years,loan_type,employment_type,approved
167200.0,32300.0,835,910000.0,8,Business,Salaried,1
137600.0,40800.0,720,1130000.0,5,Business,Salaried,1
109100.0,15800.0,732,400000.0,10,Education,Salaried,1
15200.0,3700.0,754,1170000.0,9,Business,Salaried,0
115500.0,31400.0,667,2190000.0,6,Business,Unemployed,0
150900.0,53400.0,740,7850000.0,11,Home,Salaried,0
14700.0,2400.0,438,1060000.0,5,Education,Salaried,0
14300.0,4100.0,853,830000.0,8,Business,Salaried,0
25900.0,800.0,734,480000.0,2,Personal,Salaried,1
160700.0,50400.0,712,2590000.0,7,Business,Self-Employed,1
151100.0,0.0,662,1000000.0,2,Personal,Self-Employed,1
88800.0,25000.0,680,450000.0,7,Personal,Salaried,1
160100.0,63500.0,406,4580000.0,25,Home,Unemployed,0
25400.0,4700.0,735,470000.0,4,Education,Self-Employed,1
189200.0,56100.0,598,680000.0,8,Education,Self-Employed,0
192800.0,0.0,844,1500000.0,6,Personal,Salaried,1
44900.0,11900.0,886,670000.0,7,Personal,Self-Employed,1
88800.0,5600.0,706,760000.0,6,Personal,Salaried,1
71100.0,41400.0,725,1480000.0,6,Personal,Salaried,0
47300.0,21500.0,777,690000.0,9,Business,Salaried,0
143300.0,83700.0,669,280000.0,11,Education,Salaried,1
198500.0,0.0,633,2510000.0,8,Business,Salaried,1
63400.0,0.0,360,850000.0,9,Education,Salaried,0
63900.0,0.0,835,4310000.0,5,Home,Self-Employed,0
121000.0,62800.0,719,530000.0,15,Education,Self-Employed,0
175500.0,0.0,700,2580000.0,7,Business,Unemployed,1
164500.0,65500.0,545,1540000.0,1,Business,Self-Employed,0
176300.0,55600.0,767,640000.0,13,Education,Self-Employed,1
194200.0,80700.0,803,1280000.0,7,Personal,Salaried,1
178800.0,58000.0,668,1040000.0,7,Education,Self-Employed,1
30500.0,16000.0,761,1360000.0,1,Personal,Salaried,0
82500.0,26300.0,785,280000.0,1,Personal,Salaried,1
57300.0,0.0,715,840000.0,5,Business,Self-Employed,1
139400.0,36900.0,738,1950000.0,7,Business,Unemployed,0
49500.0,14400.0,735,1770000.0,5,Business,Self-Employed,1
118400.0,52900.0,742,1540000.0,5,Business,Salaried,0
78200.0,29100.0,767,5440000.0,9,Home,Self-Employed,0
94900.0,41700.0,682,1130000.0,2,Personal,Salaried,0
183700.0,0.0,794,750000.0,15,Education,Salaried,1
100000.0,45200.0,757,1030000.0,9,Education,Self-Employed,0
86200.0,6400.0,774,430000.0,9,Education,Salaried,1
56000.0,29700.0,826,370000.0,4,Education,Salaried,0
68800.0,5800.0,376,1530000.0,2,Business,Unemployed,0
81800.0,0.0,729,4910000.0,28,Home,Salaried,0
168700.0,95100.0,760,730000.0,8,Business,Self-Employed,0
140900.0,82700.0,703,330000.0,4,Education,Salaried,0
51900.0,30200.0,690,2970000.0,10,Business,Salaried,0
164900.0,76600.0,740,2580000.0,9,Home,Salaried,0
32700.0,0.0,695,1190000.0,12,Education,Self-Employed,1
35800.0,2400.0,713,3220000.0,23,Home,Salaried,0
20200.0,0.0,430,3940000.0,5,Home,Unemployed,0
92100.0,39400.0,820,1030000.0,3,Business,Self-Employed,1
122000.0,0.0,740,480000.0,11,Education,Self-Employed,1
33500.0,17600.0,807,660000.0,2,Personal,Self-Employed,0
149200.0,28000.0,845,2090000.0,8,Business,Salaried,1
30200.0,0.0,439,890000.0,5,Personal,Salaried,0
176200.0,0.0,827,110000.0,3,Personal,Salaried,1
107400.0,31100.0,387,860000.0,4,Education,Salaried,0
170900.0,0.0,453,5320000.0,5,Home,Self-Employed,0
63400.0,0.0,387,310000.0,5,Education,Salaried,0
151300.0,0.0,728,1190000.0,8,Business,Salaried,1
73000.0,0.0,814,280000.0,15,Education,Salaried,1
136400.0,36200.0,775,200000.0,4,Personal,Salaried,1
70000.0,41300.0,660,2840000.0,3,Business,Salaried,0
13500.0,0.0,700,1070000.0,11,Education,Salaried,0
174000.0,2000.0,515,880000.0,12,Education,Salaried,0
88100.0,0.0,842,1430000.0,6,Business,Salaried,1
122700.0,29100.0,692,520000.0,2,Personal,Salaried,1
48500.0,0.0,848,980000.0,2,Personal,Salaried,1
44600.0,20300.0,844,5210000.0,19,Home,Salaried,0
177800.0,105200.0,857,1020000.0,8,Business,Self-Employed,0
161700.0,34100.0,715,210000.0,6,Business,Self-Employed,1
195700.0,69800.0,737,1430000.0,6,Personal,Self-Employed,1
119500.0,43400.0,848,1410000.0,6,Business,Unemployed,0
44400.0,11700.0,726,260000.0,3,Personal,Salaried,1
75600.0,35800.0,612,370000.0,7,Business,Salaried,1
121600.0,25500.0,474,3440000.0,24,Home,Salaried,0
82800.0,0.0,467,1250000.0,6,Personal,Salaried,0
91600.0,19900.0,662,1420000.0,4,Personal,Self-Employed,1
67600.0,0.0,729,6040000.0,21,Home,Salaried,1
128200.0,11900.0,760,960000.0,5,Education,Self-Employed,1
139200.0,37100.0,774,690000.0,5,Personal,Salaried,1
48500.0,16600.0,779,2360000.0,9,Business,Unemployed,0
162600.0,24400.0,810,4660000.0,8,Home,Self-Employed,1
155500.0,84500.0,711,1420000.0,2,Personal,Salaried,0
90000.0,20200.0,619,380000.0,8,Education,Unemployed,1
37900.0,18900.0,640,1070000.0,10,Education,Self-Employed,0
52500.0,29600.0,708,1170000.0,2,Personal,Salaried,0
132100.0,5000.0,424,820000.0,6,Personal,Salaried,0
66800.0,14100.0,655,5510000.0,21,Home,Self-Employed,0
114300.0,0.0,584,1310000.0,1,Personal,Unemployed,0
15100.0,0.0,770,960000.0,15,Education,Salaried,0
78200.0,30200.0,471,1470000.0,10,Education,Salaried,0
157900.0,27800.0,658,810000.0,14,Home,Salaried,1
153600.0,32900.0,808,1060000.0,2,Business,Salaried,1
151700.0,0.0,859,1540000.0,8,Business,Self-Employed,1
148700.0,53800.0,436,520000.0,4,Education,Self-Employed,0
125300.0,51900.0,600,1310000.0,8,Education,Salaried,1
196200.0,0.0,748,1150000.0,3,Business,Salaried,1
139500.0,10600.0,750,3220000.0,23,Home,Self-Employed,0
190400.0,87200.0,727,3490000.0,25,Home,Self-Employed,0
47000.0,25800.0,780,1060000.0,2,Personal,Salaried,0
199700.0,16300.0,651,1080000.0,4,Education,Self-Employed,1
145400.0,25300.0,646,1080000.0,14,Education,Self-Employed,1
34800.0,2900.0,589,850000.0,8,Education,Salaried,0
28200.0,16900.0,727,6270000.0,23,Home,Self-Employed,0
96600.0,20000.0,495,980000.0,5,Education,Self-Employed,0
183200.0,13600.0,648,2920000.0,27,Home,Salaried,1
59100.0,19500.0,684,820000.0,11,Education,Self-Employed,1
129400.0,0.0,830,810000.0,5,Home,Salaried,1
156200.0,59900.0,746,470000.0,7,Education,Self-Employed,1
25700.0,6800.0,660,1860000.0,6,Business,Salaried,0
173800.0,0.0,698,860000.0,8,Education,Self-Employed,1
58600.0,10200.0,744,390000.0,7,Personal,Salaried,1
147600.0,14100.0,416,1320000.0,10,Education,Unemployed,1
193700.0,41000.0,721,2660000.0,8,Business,Salaried,1
93000.0,0.0,778,570000.0,4,Personal,Self-Employed,1
66300.0,17900.0,795,5170000.0,24,Home,Salaried,0
161400.0,90900.0,658,780000.0,5,Personal,Salaried,1
74600.0,20500.0,725,510000.0,5,Personal,Salaried,1
151000.0,30500.0,433,2160000.0,5,Business,Unemployed,0
138700.0,0.0,786,1100000.0,6,Personal,Salaried,1
135300.0,0.0,666,250000.0,8,Business,Salaried,1
140000.0,79600.0,583,1010000.0,3,Business,Salaried,0
157700.0,0.0,483,970000.0,9,Home,Salaried,0
101900.0,58500.0,728,840000.0,13,Education,Unemployed,0
48100.0,16100.0,858,480000.0,7,Education,Self-Employed,1
77600.0,0.0,677,450000.0,9,Business,Salaried,1
191500.0,0.0,680,2170000.0,6,Business,Self-Employed,1
52200.0,0.0,733,440000.0,4,Education,Self-Employed,1
137900.0,52800.0,706,5880000.0,8,Home,Salaried,0
115500.0,0.0,836,7090000.0,20,Home,Salaried,0
133400.0,0.0,736,830000.0,14,Education,Salaried,1
44900.0,0.0,828,1500000.0,4,Personal,Unemployed,0
192900.0,0.0,302,4760000.0,8,Home,Unemployed,0
198000.0,58700.0,512,730000.0,6,Education,Salaried,0
98300.0,11000.0,785,870000.0,15,Education,Salaried,1
108900.0,43700.0,641,1040000.0,4,Business,Self-Employed,0
153700.0,0.0,767,130000.0,6,Business,Salaried,1
99500.0,41000.0,521,1160000.0,6,Personal,Self-Employed,0
53500.0,0.0,714,1480000.0,8,Education,Salaried,1
162800.0,0.0,758,1830000.0,2,Business,Self-Employed,1
118100.0,38800.0,735,270000.0,8,Education,Salaried,1
50600.0,2800.0,790,1410000.0,9,Business,Salaried,1
138500.0,1800.0,563,350000.0,1,Personal,Salaried,1
113700.0,61000.0,418,470000.0,5,Education,Self-Employed,0
179600.0,98800.0,619,2900000.0,9,Business,Salaried,0
198700.0,15200.0,508,1150000.0,7,Education,Salaried,0
166800.0,34600.0,837,2200000.0,2,Business,Salaried,0
188000.0,0.0,613,1820000.0,8,Business,Self-Employed,1
20300.0,6600.0,781,240000.0,3,Personal,Salaried,1
157200.0,0.0,811,1480000.0,11,Education,Salaried,1
116700.0,51500.0,757,860000.0,3,Education,Salaried,1
71900.0,6400.0,775,1470000.0,4,Business,Self-Employed,1
184000.0,106800.0,639,2320000.0,11,Home,Self-Employed,0
171300.0,74500.0,676,1020000.0,5,Personal,Unemployed,1
155200.0,0.0,718,1310000.0,3,Personal,Salaried,1
47700.0,0.0,775,1370000.0,6,Personal,Salaried,1
57000.0,9700.0,751,2810000.0,16,Home,Salaried,0
162900.0,0.0,688,690000.0,6,Business,Salaried,1
15000.0,5300.0,682,1970000.0,12,Home,Self-Employed,0
135100.0,20900.0,541,5310000.0,20,Home,Salaried,0
147400.0,81100.0,749,140000.0,3,Education,Salaried,0
137600.0,0.0,800,370000.0,6,Personal,Unemployed,0
82200.0,32900.0,719,4160000.0,5,Home,Salaried,0
111500.0,65400.0,791,2050000.0,3,Business,Salaried,0
57300.0,8700.0,786,150000.0,4,Personal,Salaried,1
54500.0,27700.0,805,6200000.0,7,Home,Unemployed,0
22500.0,2300.0,710,2370000.0,10,Business,Salaried,0
184800.0,99900.0,734,430000.0,1,Personal,Self-Employed,0
117900.0,65700.0,850,900000.0,15,Education,Self-Employed,0
68300.0,23200.0,469,1670000.0,7,Business,Unemployed,0
141600.0,63300.0,626,2240000.0,7,Home,Self-Employed,0
73400.0,34500.0,666,1700000.0,7,Business,Unemployed,0
128300.0,0.0,619,550000.0,3,Business,Salaried,1
29200.0,0.0,777,200000.0,4,Education,Salaried,1
108300.0,5800.0,740,2370000.0,7,Business,Salaried,0
27900.0,0.0,544,1760000.0,3,Business,Salaried,0
68600.0,2600.0,708,4130000.0,7,Home,Salaried,0
105200.0,28900.0,570,3470000.0,24,Home,Self-Employed,0
93000.0,0.0,740,490000.0,12,Education,Salaried,1
45400.0,8700.0,747,7760000.0,30,Home,Salaried,0
159700.0,89300.0,886,620000.0,9,Business,Salaried,1
51400.0,0.0,317,2560000.0,7,Business,Unemployed,0
57500.0,24700.0,616,7930000.0,20,Home,Self-Employed,0
160700.0,86300.0,749,350000.0,4,Business,Salaried,0
127200.0,49200.0,854,530000.0,15,Education,Salaried,1
53700.0,0.0,759,350000.0,3,Personal,Salaried,1
16600.0,4100.0,329,7560000.0,9,Home,Salaried,0
50900.0,14500.0,761,510000.0,7,Education,Salaried,0
76500.0,36700.0,485,790000.0,5,Personal,Salaried,0
55600.0,6200.0,710,180000.0,10,Business,Unemployed,0
85100.0,0.0,775,2450000.0,2,Business,Salaried,1
49000.0,19700.0,853,2850000.0,17,Home,Salaried,0
171000.0,83500.0,683,930000.0,1,Personal,Salaried,1
69400.0,28900.0,707,250000.0,9,Education,Salaried,1
142400.0,85400.0,720,510000.0,6,Business,Self-Employed,0
190900.0,22400.0,733,990000.0,4,Personal,Self-Employed,1
95400.0,32400.0,664,190000.0,4,Business,Self-Employed,1
118300.0,0.0,724,4800000.0,13,Home,Self-Employed,1
154300.0,0.0,664,670000.0,14,Education,Salaried,1
199900.0,41800.0,409,7950000.0,29,Home,Salaried,0
122500.0,52200.0,649,1540000.0,11,Home,Self-Employed,0
112100.0,11300.0,373,870000.0,7,Personal,Salaried,0
153000.0,5400.0,752,1060000.0,2,Personal,Salaried,1
155200.0,45600.0,676,650000.0,10,Education,Self-Employed,1
153000.0,80500.0,720,890000.0,7,Personal,Salaried,0
98200.0,21100.0,728,350000.0,4,Personal,Self-Employed,1
167700.0,58200.0,719,1100000.0,1,Business,Salaried,0
186700.0,51100.0,406,2990000.0,3,Business,Salaried,0
187400.0,73600.0,698,1360000.0,5,Education,Salaried,1
154000.0,8400.0,662,160000.0,12,Education,Self-Employed,1
142800.0,0.0,405,480000.0,2,Business,Salaried,0
31300.0,16500.0,780,1140000.0,2,Personal,Self-Employed,0
117900.0,11600.0,662,6110000.0,18,Home,Salaried,0
28300.0,12800.0,701,2890000.0,6,Business,Self-Employed,0
27800.0,10000.0,781,5680000.0,26,Home,Salaried,0
107800.0,0.0,606,7230000.0,12,Home,Salaried,0
132000.0,70400.0,696,500000.0,4,Personal,Salaried,0
140400.0,0.0,492,150000.0,2,Business,Salaried,1
23400.0,0.0,747,4260000.0,18,Home,Salaried,0
112900.0,18800.0,724,690000.0,3,Business,Salaried,1
155500.0,60000.0,711,2860000.0,4,Business,Salaried,0
33800.0,1100.0,753,290000.0,1,Personal,Unemployed,0
191200.0,89800.0,649,220000.0,7,Personal,Salaried,1
17500.0,0.0,611,1080000.0,5,Personal,Self-Employed,0
79700.0,27100.0,673,400000.0,10,Business,Salaried,1
107700.0,55800.0,717,590000.0,2,Personal,Salaried,0
183800.0,0.0,688,640000.0,6,Personal,Salaried,1
34400.0,1100.0,725,100000.0,4,Personal,Salaried,1
157400.0,8200.0,698,950000.0,5,Business,Self-Employed,1
123200.0,57100.0,820,6200000.0,12,Home,Salaried,0
113800.0,47300.0,691,2300000.0,7,Business,Salaried,0
111600.0,32900.0,886,1080000.0,4,Education,Salaried,0
109700.0,0.0,859,1140000.0,8,Home,Self-Employed,1
118800.0,68700.0,674,1010000.0,7,Business,Salaried,0
63100.0,7700.0,738,280000.0,5,Education,Salaried,1
112800.0,0.0,685,430000.0,4,Education,Salaried,1
143000.0,71700.0,623,410000.0,8,Education,Self-Employed,1
60900.0,0.0,705,690000.0,6,Personal,Self-Employed,1
163100.0,1200.0,545,220000.0,7,Personal,Salaried,0
60700.0,0.0,611,1360000.0,4,Personal,Salaried,1
167900.0,4300.0,649,870000.0,7,Personal,Unemployed,0
140400.0,18100.0,679,2660000.0,1,Business,Salaried,1
105800.0,0.0,622,3370000.0,18,Home,Self-Employed,1
162800.0,0.0,495,3190000.0,22,Home,Self-Employed,0
106400.0,11500.0,664,1350000.0,15,Education,Unemployed,1
156200.0,0.0,325,2000000.0,5,Business,Salaried,0
190200.0,112100.0,836,1490000.0,2,Personal,Self-Employed,0
143200.0,0.0,762,1420000.0,12,Education,Self-Employed,1
164400.0,0.0,652,780000.0,6,Home,Self-Employed,1
101900.0,37500.0,385,1830000.0,30,Home,Salaried,0
39800.0,0.0,631,810000.0,8,Education,Salaried,1
136500.0,27600.0,861,1110000.0,9,Education,Self-Employed,1
44800.0,0.0,833,2380000.0,4,Business,Self-Employed,1
150000.0,16000.0,762,4800000.0,29,Home,Salaried,1
71800.0,0.0,749,180000.0,4,Personal,Salaried,1
196700.0,104500.0,764,970000.0,3,Personal,Salaried,0
142300.0,67200.0,603,690000.0,9,Education,Salaried,1
83200.0,5100.0,807,1990000.0,4,Business,Salaried,1
18300.0,2900.0,692,1340000.0,2,Personal,Self-Employed,0
197200.0,0.0,710,990000.0,5,Personal,Salaried,1
74200.0,0.0,732,7440000.0,22,Home,Salaried,0
30000.0,9900.0,606,60000.0,4,Education,Salaried,1
16800.0,2900.0,800,990000.0,7,Business,Salaried,0
114300.0,60700.0,712,430000.0,10,Education,Salaried,0
40400.0,2300.0,790,650000.0,15,Education,Salaried,1
165900.0,53300.0,418,1330000.0,4,Personal,Self-Employed,0
146300.0,79000.0,469,1900000.0,2,Business,Unemployed,0
197100.0,0.0,331,1330000.0,7,Business,Salaried,0
60500.0,0.0,316,3410000.0,17,Home,Self-Employed,0
184400.0,77500.0,782,210000.0,5,Education,Salaried,1
117800.0,20200.0,693,630000.0,4,Personal,Unemployed,0
63800.0,23300.0,598,2680000.0,6,Business,Salaried,0
185100.0,0.0,792,480000.0,3,Personal,Self-Employed,1
54900.0,24500.0,688,1100000.0,5,Personal,Unemployed,0
183700.0,53400.0,699,920000.0,30,Home,Salaried,1
87800.0,0.0,735,300000.0,6,Education,Self-Employed,1
21500.0,2600.0,716,3480000.0,8,Home,Salaried,0
123700.0,64600.0,694,1730000.0,13,Home,Salaried,0
84700.0,29100.0,514,980000.0,6,Personal,Salaried,0
174600.0,0.0,717,480000.0,3,Business,Salaried,1
126400.0,0.0,764,430000.0,4,Personal,Salaried,1
99700.0,49300.0,628,1580000.0,6,Business,Salaried,0
32300.0,19200.0,806,430000.0,14,Education,Salaried,0
109300.0,3700.0,502,640000.0,8,Education,Salaried,0
199500.0,50100.0,595,1070000.0,5,Personal,Self-Employed,0
53800.0,25300.0,467,790000.0,5,Education,Self-Employed,0
100500.0,0.0,733,7340000.0,26,Home,Salaried,0
54000.0,0.0,815,580000.0,5,Personal,Salaried,1
174900.0,99100.0,816,770000.0,7,Personal,Salaried,0
175700.0,104600.0,871,1340000.0,10,Education,Salaried,0
103700.0,11000.0,566,2550000.0,29,Home,Self-Employed,0
155600.0,57400.0,704,7740000.0,17,Home,Salaried,1
190600.0,0.0,728,630000.0,5,Home,Self-Employed,1
176900.0,10900.0,684,990000.0,6,Home,Salaried,1
109800.0,28600.0,639,1490000.0,10,Education,Salaried,1
182500.0,0.0,665,7890000.0,11,Home,Salaried,1
145700.0,0.0,749,6280000.0,24,Home,Salaried,0
134900.0,55800.0,700,830000.0,4,Personal,Self-Employed,1
130500.0,51800.0,676,5040000.0,9,Home,Self-Employed,0
128100.0,60300.0,743,1170000.0,7,Personal,Salaried,0
89000.0,29300.0,472,4100000.0,12,Home,Salaried,1
169000.0,15100.0,724,1090000.0,1,Personal,Unemployed,0
195700.0,5900.0,518,6890000.0,16,Home,Salaried,0
33800.0,0.0,302,250000.0,13,Education,Salaried,0
191600.0,84300.0,692,220000.0,9,Education,Self-Employed,1
141700.0,35900.0,341,240000.0,14,Education,Self-Employed,0
183300.0,62600.0,743,6340000.0,24,Home,Salaried,1
103800.0,0.0,611,5410000.0,5,Home,Salaried,1
137900.0,43300.0,625,5460000.0,12,Home,Unemployed,0
167400.0,0.0,576,2810000.0,9,Business,Salaried,0
26100.0,3800.0,312,750000.0,7,Business,Self-Employed,0
95500.0,5000.0,687,7860000.0,28,Home,Salaried,0
18700.0,9300.0,851,970000.0,5,Personal,Salaried,0
80300.0,10700.0,733,1900000.0,8,Business,Unemployed,0
33400.0,0.0,692,1250000.0,15,Education,Self-Employed,1
20600.0,1700.0,767,210000.0,12,Education,Self-Employed,1
85900.0,40300.0,630,640000.0,6,Personal,Unemployed,0
96700.0,55500.0,722,810000.0,1,Personal,Self-Employed,0
102800.0,56800.0,737,2220000.0,3,Business,Self-Employed,0
84300.0,0.0,490,450000.0,8,Education,Salaried,0
38000.0,20200.0,800,1690000.0,6,Business,Self-Employed,0
129300.0,26800.0,865,5380000.0,10,Home,Salaried,0
155000.0,54200.0,477,1030000.0,11,Education,Self-Employed,0
110300.0,9600.0,659,2280000.0,3,Business,Self-Employed,1
23700.0,0.0,729,570000.0,10,Education,Salaried,1
117500.0,55300.0,680,5480000.0,17,Home,Self-Employed,0
22100.0,0.0,809,1300000.0,10,Education,Unemployed,0
114800.0,53500.0,373,310000.0,13,Education,Self-Employed,0
34400.0,5800.0,647,6850000.0,5,Home,Self-Employed,0
186600.0,86600.0,800,2760000.0,30,Home,Salaried,0
145000.0,83300.0,783,280000.0,11,Education,Salaried,0
178100.0,35400.0,844,940000.0,4,Personal,Salaried,1
77000.0,29700.0,360,90000.0,3,Personal,Salaried,0
113600.0,62100.0,393,1210000.0,4,Personal,Salaried,0
48200.0,27400.0,847,830000.0,3,Education,Self-Employed,0
157400.0,0.0,628,4530000.0,27,Home,Self-Employed,1
188700.0,0.0,715,1060000.0,2,Business,Self-Employed,1
116900.0,16000.0,701,5230000.0,18,Home,Self-Employed,0
112500.0,41700.0,738,2130000.0,2,Business,Self-Employed,0
140900.0,23800.0,395,1240000.0,1,Personal,Salaried,0
85500.0,0.0,849,1580000.0,26,Home,Salaried,1
14100.0,0.0,599,880000.0,9,Education,Unemployed,0
152700.0,0.0,706,980000.0,5,Personal,Salaried,1
168900.0,18400.0,803,6890000.0,22,Home,Salaried,1
24700.0,10800.0,690,220000.0,6,Personal,Salaried,1
181200.0,49000.0,684,900000.0,12,Education,Self-Employed,1
43700.0,20600.0,749,450000.0,8,Education,Unemployed,0
99000.0,18100.0,652,930000.0,7,Education,Self-Employed,1
48900.0,0.0,768,7190000.0,21,Home,Self-Employed,0
52000.0,8100.0,434,2000000.0,3,Business,Self-Employed,0
122800.0,0.0,722,1180000.0,16,Home,Self-Employed,1
163600.0,16300.0,712,1840000.0,23,Home,Self-Employed,1
102900.0,13500.0,611,3270000.0,6,Home,Self-Employed,1
184600.0,0.0,751,200000.0,11,Education,Salaried,1
61500.0,6400.0,697,1000000.0,4,Education,Self-Employed,1
53900.0,26400.0,785,2670000.0,1,Business,Unemployed,0
55200.0,9300.0,646,5020000.0,8,Home,Salaried,0
147400.0,42300.0,647,2520000.0,1,Business,Self-Employed,1
42300.0,1000.0,607,2440000.0,10,Home,Salaried,0
118000.0,50900.0,679,350000.0,8,Business,Salaried,1
44100.0,0.0,786,2480000.0,3,Business,Self-Employed,0
140900.0,0.0,614,600000.0,5,Education,Salaried,1
183000.0,90800.0,652,7260000.0,24,Home,Salaried,1
136000.0,0.0,558,1410000.0,6,Personal,Salaried,0
20200.0,2800.0,497,1210000.0,10,Business,Salaried,0
59800.0,0.0,320,910000.0,5,Personal,Salaried,0
151800.0,47600.0,699,2040000.0,30,Home,Salaried,1
92100.0,14400.0,734,940000.0,13,Education,Salaried,1
159400.0,35400.0,672,2800000.0,16,Home,Salaried,1
172700.0,77500.0,762,570000.0,4,Business,Self-Employed,1
127400.0,4000.0,748,1220000.0,5,Education,Self-Employed,1
61500.0,22500.0,833,1260000.0,9,Business,Salaried,0
166200.0,43800.0,752,1210000.0,3,Personal,Unemployed,0
138700.0,54500.0,321,2570000.0,17,Home,Self-Employed,0
49700.0,21000.0,437,2210000.0,9,Business,Salaried,0
165300.0,95500.0,705,60000.0,5,Education,Salaried,0
106600.0,7500.0,673,820000.0,7,Personal,Salaried,1
117900.0,0.0,850,1430000.0,8,Business,Unemployed,0
60500.0,28600.0,762,1210000.0,4,Personal,Salaried,0
61500.0,14700.0,692,850000.0,2,Personal,Self-Employed,1
119900.0,53700.0,347,1120000.0,6,Education,Salaried,0
50100.0,18600.0,629,1380000.0,13,Education,Salaried,0
155700.0,3900.0,745,1530000.0,10,Business,Self-Employed,1
155700.0,37200.0,637,1620000.0,7,Business,Salaried,1
86000.0,9000.0,474,710000.0,6,Personal,Salaried,1
30900.0,16000.0,675,2520000.0,24,Home,Salaried,0
51600.0,0.0,804,2600000.0,10,Home,Salaried,1
147500.0,0.0,804,1970000.0,30,Home,Self-Employed,1
13800.0,1100.0,457,4500000.0,15,Home,Salaried,0
173400.0,10300.0,663,420000.0,13,Education,Salaried,1
79700.0,38700.0,706,560000.0,13,Education,Salaried,0
134200.0,78900.0,689,4330000.0,29,Home,Salaried,0
65900.0,5700.0,789,530000.0,6,Personal,Salaried,1
25400.0,3500.0,681,880000.0,7,Business,Self-Employed,1
188500.0,0.0,713,590000.0,1,Business,Self-Employed,1
188800.0,0.0,649,1270000.0,7,Home,Self-Employed,1
17000.0,7800.0,674,550000.0,7,Business,Salaried,0
